,All patients,Ideal,NIHSS < 5,Estimated onset time,mRS > 2,Age > 80,Arrival-to-scan 60-90,Haemorrhagic,Used AF anticoagulants,Onset-to-arrival time 150-180,Onset during sleep,NIHSS + Precise,NIHSS + Disability,Precise + Disability,NIHSS + Precise + Disability
IYJHY1440E,20.549999999999997,100.0,2.269087026161239,1.2735473600424516,5.621301775147929,16.004728132387708,3.896103896103896,0.0,1.486374896779521,11.440245148110318,0.0,0.0,0.2004008016032064,0.1049317943336831,0.0
JADBS8258F,24.64,100.0,5.552589428723972,0.4775802600159193,8.579881656804734,18.581560283687942,5.339105339105339,0.0,3.4682080924855487,17.364657814096017,0.0,0.0,0.0,0.0,0.0
JHDQL1362V,28.51,100.0,6.166577682861719,7.959671000265322,9.270216962524655,22.22222222222222,6.926406926406926,0.0,2.8075970272502064,20.224719101123593,0.0,0.06675567423230974,0.0,0.0,0.0
JINXD0311F,31.490000000000002,100.0,8.222103577148959,11.541522950384717,13.214990138067062,25.508274231678485,9.090909090909092,0.0,3.7985136251032205,22.36976506639428,2.8368794326241136,1.5353805073431241,0.6012024048096193,1.888772298006296,0.0
JRXDG8181O,25.21,100.0,5.312333155365724,2.732820376757761,8.284023668639055,18.77068557919622,5.483405483405483,0.0,0.16515276630883566,17.7732379979571,0.0,0.06675567423230974,0.0,0.0,0.0
JXJYG0100P,26.58,100.0,4.991991457554725,4.961528256832051,9.861932938856016,21.182033096926713,5.772005772005772,0.0,0.990916597853014,18.590398365679263,0.0,0.06675567423230974,0.0,0.0,0.0
KECZG3964M,26.590000000000003,96.89655172413794,5.739455419113721,3.3695940567789866,14.299802761341224,22.955082742316783,7.07070707070707,0.0,0.6606110652353426,16.649642492339122,0.0,0.0,0.0,1.888772298006296,0.0
KZKEZ2257Z,36.07,100.0,12.22637479978644,16.980631467232687,25.19723865877712,32.62411347517731,5.483405483405483,0.0,8.175061932287365,26.96629213483146,0.4728132387706856,2.803738317757009,4.609218436873747,11.12277019937041,2.681992337164751
LECHF1024T,14.78,85.17241379310346,0.5072076882007475,3.9002387901300084,2.7613412228796843,10.732860520094563,1.443001443001443,0.0,0.9083402146985963,9.601634320735444,0.0,0.0,0.0,0.5246589716684155,0.0
LFPMM4706C,17.16,100.0,0.32034169781099836,2.9185460334306184,5.424063116370808,11.962174940898345,1.7316017316017316,0.0,0.2477291494632535,10.41879468845761,0.0,0.0,0.0,1.049317943336831,0.0
LFZMO6561M,24.060000000000002,100.0,4.3246129204484784,4.961528256832051,4.585798816568047,16.47754137115839,6.0606060606060606,0.0,0.0,17.160367722165475,0.0,0.0,0.0,0.1049317943336831,0.0
LGNPK4211W,14.45,96.89655172413794,0.0,0.716370390023879,5.177514792899409,12.31678486997636,3.1746031746031744,0.0,0.0,7.865168539325842,0.0,0.0,0.0,0.0,0.0
LLPWF6176Z,27.92,100.0,5.258942872397224,6.314672326877156,13.313609467455622,22.505910165484632,5.194805194805195,0.0,0.3303055326176713,19.816138917262514,0.0,0.06675567423230974,0.8016032064128256,1.2591815320041972,0.0
LUVFZ2751A,29.020000000000003,100.0,5.6059797116924726,7.110639426903688,15.483234714003945,24.1371158392435,6.349206349206349,0.0,0.990916597853014,21.04187946884576,0.0,0.0,0.0,0.2098635886673662,0.0
LZAYM7611L,19.05,99.6551724137931,1.788574479444741,1.1408861767046963,7.199211045364892,13.995271867612294,4.473304473304474,0.0,0.08257638315441783,9.601634320735444,0.0,0.0,0.0,0.6295907660020986,0.0
LZGVG8257A,30.18,100.0,6.353443673251469,10.32104006367737,10.601577909270217,24.893617021276597,6.782106782106783,0.0,4.706853839801816,21.04187946884576,0.2364066193853428,0.06675567423230974,0.0,0.8394543546694648,0.0
MHMYL4920B,38.940000000000005,100.0,15.61665776828617,18.599097903953304,25.19723865877712,33.40425531914894,12.121212121212121,0.0,9.826589595375722,28.29417773237998,1.1820330969267139,5.27369826435247,3.006012024048096,8.394543546694647,0.38314176245210724
NFBUF0424E,23.64,100.0,5.125467164975974,3.9533032634651097,3.9940828402366866,17.092198581560282,15.151515151515152,0.0,0.41288191577208916,13.278855975485188,0.0,0.20026702269692925,0.0,0.0,0.0
NGKDE7265L,32.36,100.0,7.901761879337961,11.461926240382065,19.230769230769234,27.754137115839246,6.493506493506493,0.0,4.459124690338563,24.310520939734424,0.0,0.20026702269692925,2.2044088176352705,4.092339979013642,0.0
NTPQZ0829K,39.23,100.0,16.871329418045917,19.872645263995757,21.548323471400394,32.81323877068558,14.285714285714285,0.0,2.312138728323699,31.15423901940756,0.9456264775413712,3.2710280373831773,0.2004008016032064,8.709338929695697,0.0
NZECY6641V,28.26,100.0,7.261078483715963,7.720880870257362,11.883629191321498,21.465721040189127,5.194805194805195,0.0,3.137902559867878,20.42900919305414,0.2364066193853428,0.5340453938584779,0.6012024048096193,1.2591815320041972,0.0
NZNML2841Q,22.64,100.0,5.579284570208222,2.7858848500928626,3.057199211045365,16.382978723404253,5.916305916305916,0.0,1.7341040462427744,15.321756894790603,0.0,0.0,0.0,0.0,0.0
OFKDF3720W,28.32,100.0,6.3801388147357185,6.977978243565933,10.798816568047338,22.4822695035461,6.782106782106783,0.0,0.41288191577208916,20.73544433094995,0.7092198581560284,0.06675567423230974,0.0,0.1049317943336831,0.0
OHGIK1804X,32.25,100.0,6.353443673251469,10.63942690368798,20.710059171597635,28.132387706855795,9.812409812409813,0.0,2.064409578860446,22.778345250255363,0.0,0.13351134846461948,0.2004008016032064,4.3022035676810075,0.0
OKVRY7006H,23.669999999999998,100.0,2.989855846235985,4.6962058901565396,7.6923076923076925,18.250591016548466,3.6075036075036073,0.0,0.16515276630883566,11.644535240040858,0.0,0.0,0.0,0.3147953830010493,0.0
OQYTM8444L,26.35,100.0,5.97971169247197,6.155478906871849,9.072978303747535,15.53191489361702,6.782106782106783,0.0,1.7341040462427744,18.38610827374872,0.0,0.0,0.2004008016032064,0.4197271773347324,0.0
OUXUZ1084Q,12.950000000000001,99.3103448275862,0.05339028296849973,0.6102414433536747,0.14792899408284024,8.203309692671395,2.3088023088023086,0.0,0.0,7.048008171603677,0.0,0.0,0.0,0.0,0.0
OYASQ1316D,34.63,100.0,9.556860651361452,14.831520297161049,21.351084812623274,29.976359338061464,10.678210678210679,0.0,2.3947151114781176,26.149131767109296,0.0,2.202937249666222,1.6032064128256511,5.351521511017839,0.0
PAOUI8935Z,33.94,100.0,10.864922584089696,14.990713717166356,17.159763313609467,27.210401891252957,16.017316017316016,0.0,4.046242774566474,27.170582226762,0.4728132387706856,5.07343124165554,1.6032064128256511,5.141657922350472,1.1494252873563218
PAYNN3649Z,25.979999999999997,100.0,2.08222103577149,6.845317060228178,18.04733727810651,23.120567375886523,8.080808080808081,0.0,3.5507844756399667,13.993871297242084,0.0,0.06675567423230974,1.002004008016032,2.9380902413431267,0.0
PDNWI2057P,34.660000000000004,100.0,12.573411639081685,10.692491377023083,17.60355029585799,28.179669030732864,12.842712842712842,0.0,5.945499587118084,26.353421859039837,0.2364066193853428,0.6008010680907877,1.402805611222445,0.8394543546694648,0.0
PSNKC7508G,27.810000000000002,100.0,5.6860651361452215,4.6696736534889896,12.3767258382643,21.98581560283688,7.35930735930736,0.0,1.3212221304706853,18.692543411644536,0.0,0.0,0.0,0.4197271773347324,0.0
QNARI2373R,26.02,100.0,5.525894287239722,5.545237463518174,8.727810650887575,20.40189125295508,2.886002886002886,0.0,0.08257638315441783,18.181818181818183,0.0,0.06675567423230974,0.0,0.0,0.0
QOAPO4699N,32.05,100.0,12.520021356113187,12.019103210400637,15.483234714003945,25.153664302600472,6.637806637806638,0.0,2.8075970272502064,18.998978549540347,0.0,4.0720961281708945,0.2004008016032064,3.5676810073452256,0.0
QOGNY5824N,25.15,100.0,2.642819006940737,7.137171663571238,5.0788954635108485,19.33806146572104,6.926406926406926,0.0,6.193228736581338,18.794688457609805,0.2364066193853428,0.0,0.0,0.1049317943336831,0.0
QQUVD2066Z,36.730000000000004,100.0,8.702616123865456,14.804988060493498,28.895463510848124,33.451536643026,9.090909090909092,0.0,10.734929810074318,25.944841675178754,0.4728132387706856,0.13351134846461948,0.8016032064128256,9.758656873032528,0.0
QTELJ8888W,28.389999999999997,100.0,5.712760277629472,7.216768373573893,11.390532544378699,22.88416075650118,6.349206349206349,0.0,0.990916597853014,20.020429009193055,0.0,0.06675567423230974,0.0,0.1049317943336831,0.0
QWKRA8499D,38.82,100.0,15.77682861719167,19.55425842398514,25.39447731755424,34.349881796690305,14.862914862914863,0.0,1.3212221304706853,30.132788559754854,0.4728132387706856,4.539385847797063,4.008016032064128,9.12906610703043,1.1494252873563218
QZMCK3259S,33.01,100.0,8.862786972770955,12.523215707084107,21.351084812623274,28.510638297872344,4.761904761904762,0.0,10.982658959537572,17.97752808988764,0.2364066193853428,0.6675567423230975,0.8016032064128256,5.456453305351522,0.0
RDVPJ0375X,22.05,100.0,1.0678056593699947,4.139028920137967,7.642998027613412,15.957446808510639,5.483405483405483,0.0,0.5780346820809248,13.381001021450459,0.0,0.0,0.0,0.1049317943336831,0.0
REVJR6326T,29.37,100.0,5.712760277629472,9.816927566993899,13.165680473372781,24.278959810874703,6.349206349206349,0.0,0.990916597853014,21.144024514811033,0.2364066193853428,0.06675567423230974,0.0,3.882476390346275,0.0
RGJWU8840Q,33.77,100.0,9.770421783235452,13.478376227115946,18.68836291913215,29.29078014184397,8.225108225108226,0.0,1.568951279933939,24.412665985699693,0.2364066193853428,0.6675567423230975,0.6012024048096193,4.4071353620146905,0.0
ROOIZ9592Y,29.93,100.0,4.831820608649226,14.327407800477578,11.735700197238659,24.846335697399528,5.916305916305916,0.0,0.8257638315441783,24.616956077630235,12.529550827423167,0.33377837116154874,0.0,4.197271773347324,0.0
